Year,Prime Minister,Opportunity_Area,Approved,Rejected,Excluded,Approved_to_Rejected_Ratio
2016,David Cameron,No,94,29,8,3.24:1
2016,David Cameron,Yes,158,63,14,2.51:1
2016,Theresa May,No,103,23,12,4.48:1
2016,Theresa May,Yes,176,61,17,2.89:1
2017,Theresa May,No,135,64,11,2.11:1
2017,Theresa May,Yes,248,108,43,2.30:1
2018,Theresa May,No,121,56,21,2.16:1
2018,Theresa May,Yes,262,89,27,2.94:1
2019,Boris Johnson,No,42,5,5,8.40:1
2019,Boris Johnson,Yes,106,31,18,3.42:1
2019,Theresa May,No,74,18,7,4.11:1
2019,Theresa May,Yes,113,43,11,2.63:1
2020,Boris Johnson,No,103,49,10,2.10:1
2020,Boris Johnson,Yes,197,74,37,2.66:1
2021,Boris Johnson,No,101,38,13,2.66:1
2021,Boris Johnson,Yes,183,69,13,2.65:1
2022,Boris Johnson,No,52,18,6,2.89:1
2022,Boris Johnson,Yes,180,30,22,6.00:1
2022,Liz Truss,No,10,4,4,2.50:1
2022,Liz Truss,Yes,136,8,0,17.00:1
2022,Rishi Sunak,No,6,3,1,2.00:1
2022,Rishi Sunak,Yes,70,12,1,5.83:1
2023,Rishi Sunak,No,68,18,6,3.78:1
2023,Rishi Sunak,Yes,182,59,16,3.08:1
2024,Keir Starmer,No,27,15,2,1.80:1
2024,Keir Starmer,Yes,56,16,6,3.50:1
2024,Rishi Sunak,No,38,16,0,2.38:1
2024,Rishi Sunak,Yes,72,23,10,3.13:1
2025,Keir Starmer,No,65,13,8,5.00:1
2025,Keir Starmer,Yes,143,35,27,4.09:1
2026,Keir Starmer,No,4,0,10,Undefined
2026,Keir Starmer,Yes,11,0,24,Undefined
